"LoanID","CustomerID","LoanAmount","LoanType","LoanStatus","LoanDate","ApprovalDate"
101,1,50000,"Home","Approved","2025-01-01","2025-01-05"
102,2,20000,"Personal","Pending","2025-01-02",None
103,3,30000,"Auto","Approved","2025-01-03","2025-01-04"
104,4,45000,"Education","Rejected","2025-01-04","2025-01-02"
105,5,70000,"Home","Approved","2025-01-05","2025-01-10"
106,6,15000,"Personal","Approved","2025-01-06","2025-01-08"
107,7,80000,"Auto","Pending","2025-01-07",None
108,8,12000,"Education","Approved","2025-01-08","2025-01-09"
109,9,60000,"Home","Approved","2025-01-09","2025-01-12"
110,10,25000,"Personal","Rejected","2025-01-10","2025-01-11"
